sentence_id	gold_tokens	pred_tokens
1	毋庸讳言/，/涉企/谣言/如同/寄生/在/市场/肌体/上/的/“/毒瘤/”/，/不仅/误导/消费者/，/更/损害/企业/商誉/，/让/企业/蒙受/不白之冤/，/可谓/不胜其烦/、/不堪/其/苦/。	毋庸/讳言/，/涉企/谣言/如同寄生/在/市场/肌/体上/的/“/毒瘤/”/，/不仅/误导/消费者/，/更/损害/企业商/誉/，/让/企业/蒙受/不白之冤/，/可谓/不胜/其/烦/、/不堪/其/苦/。
2	AI/红包/大/战/之/热/，/令人/不禁/想起/11/年前/那个/改写/移动/支付/格局/的/除夕之夜/。	AI/红包/大战/之热/，/令人/不禁/想起/11/年/前那/个/改写/移动/支付/格局/的/除夕/之夜/。
3	他/表示/，/目前/我国/的/超大规模/市场/优势/还/没有/充分发挥/出来/，/扩大/消费/特别/是/服务/消费/潜力/巨大/，/城市更新/、/传统/基础设施/改造/升级/、/新型/基础/设施/建设/等/领域/都/有/巨大/的/投资/空间/。	他/表示/，/目前/我国/的/超大/规模/市场/优势/还/没有/充分/发挥/出来/，/扩大/消费/特别/是/服务/消费/潜力/巨大/，/城市/更新/、/传统/基础/设施/改造/升级/、/新型/基础/设施/建设/等/领域/都/有巨大/的/投资/空间/。
4	人民网/留言/板/，/成为/连接/党委政府/与/各族群众/的/“/连心桥/”/。	人民网/留言板/，/成为/连接/党委/政府/与/各族/群众/的/“/连心/桥/”/。
5	国家/金融/监督/管理/总局/、/中国人民银行/、/证监会/联合/发布公告/，/批准/渣打银行/、/汇丰银行/、/花旗银行/在/上海/自/贸/试验区/设立/全资/证券公司/。	国家/金融/监督/管理/总局/、/中国/人民银行/、/证/监会/联合/发布/公告/，/批准/渣/打银行/、/汇丰银行/、/花旗银行/在/上海/自/贸试验区/设立/全资/证券/公司/。
6	提前/12/小时/预报/到/县/、/提前/6/小时/和/2/小时/预报/到/乡镇村/，/让/基层干部/能/第一时间/组织/群众/转移/。	提前/12小时/预报/到县/、/提前6/小时/和/2小/时/预报/到/乡镇村/，/让/基层干部能/第/一/时间/组织/群众/转移/。
7	台北市/长/蒋/万安/15/日/受访/时/表示/，/赖清德/不/应该/美化/殖民主义/，/一再/撕裂/台湾/社会/，/制造/更深/的/仇恨/与/对立/。	台北/市长/蒋万/安15/日/受访/时/表示/，/赖清德/不应/该/美化/殖民/主义/，/一/再/撕裂/台湾/社会/，/制造/更深/的/仇恨/与/对立/。
8	此举/意义/深远/，/既是/优化/营商/环境/的/有力/抓手/，/也/是/维护/公平竞争/的/重要/举措/，/为/市场主体/安心/经营/筑/牢/了/坚实/的/网络/防线/。	此/举意/义/深远/，/既/是/优化/营商/环境/的/有力/抓/手/，/也/是/维护/公平/竞争/的/重要/举措/，/为/市场/主体/安心/经营/筑/牢/了/坚实/的/网络/防线/。
9	”/中新社/北京/3月/15/日电/据/中国国防部/网站/消息/，/3月/中旬/，/中越/第/十/次/边境/国防/友好/交流活动/将/在/中国/广西壮族自治区/、/越南/广宁省/相关/地区/、/口岸/及/北部湾/海域/举行/。	”/中新/社北京3月/15/日电/据/中国国/防部/网站/消息/，/3月/中旬/，/中越/第/十次/边境/国防友/好/交流/活动/将/在/中国/广西/壮族/自治/区/、/越南/广宁/省/相关/地区/、/口岸/及/北部湾海域/举行/。
10	传统/的/单一/税种/及/来源/征管/模式/已/难以/适应/当前/的/税收/环境/。	传统/的/单一/税种/及/来源/征管/模式/已难/以/适应/当前/的/税收/环境/。
11	此外/，/综合/所得/的/基本/减除/费用/标准/从/以往/的/按/月/计算/调整/为/按/年/计算/，/基本/减除/费用/标准/提高/到/5000/元///月/（/6/万/元///年/）/。	此外/，/综合/所得/的/基本/减除费/用/标准/从/以往/的/按月/计算/调整/为/按/年/计算/，/基本/减除费/用/标准/提高/到/5000元/月/（6/万/元//年/）/。
12	文章/认为/，/中东/冲突/升级/加剧/了/对/本/已不/确定/的/全球/经济/造成/的/损害/。	文章/认为/，/中东/冲突/升级/加剧/了/对本/已/不/确定/的/全球/经济/造成/的/损害/。
13	涉企/网络/辟谣/专区/不能/止步/于/“/辟/”/，/还要/在/“/用/”/上/做/足/文章/。	涉企/网络/辟谣/专区/不能止/步于/“/辟/”/，/还要/在/“/用/”/上/做足/文章/。
14	伊朗/21/日/对/以色列/南部/多/座/城市/发动/空袭/，/以/防空/系统/未能/拦截/至少/两/枚/弹道导弹/。	伊朗/21/日/对/以色列/南部/多座/城市/发动/空袭/，/以/防空系统/未能/拦截/至少/两/枚/弹道/导弹/。
15	我们/希望/有关/地区/国家/顺应/历史/大势/和/时代/潮流/，/早日/作出/真正/符合/本国/人民/根本/和/长远利益/的/正确/选择/。	我们/希望/有关/地区/国家/顺应/历史/大势/和/时代潮流/，/早日/作出/真正/符合/本国/人民/根本/和/长远/利益/的/正/确选择/。
16	公安部/部长/王小洪/、/国家安全部/部长/陈一新/、/司法部/部长/贺荣/在/天津/召开/全国/政法/工作/会议/，/天津市/市委书记/陈敏尔/、/市长/张/工作汇报/。	公安/部/部长/王小/洪/、/国家/安全/部/部长/陈/一新/、/司法/部部/长贺荣/在/天津/召开/全国/政法/工作/会议/，/天津市/市委/书记/陈/敏尔/、/市长/张工作/汇报/。
17	正如/习近平/总书记/在/参加/江苏/代表团/审议/时/所说/的/，/“/要/准确/把握/新形势下/人民/群众/对/美好生活/新/期待/和/民生/工作/新/特点/”/。	正/如习/近平/总书记/在/参加江/苏代/表团/审议/时所/说/的/，/“/要/准确/把握/新/形势/下/人民/群众/对/美好/生活/新期/待/和/民生/工作/新/特点/”/。
18	第/四/，/高收入/个人/税收/流失/的/差异/贡献率/较为/集中/，/财产/转让/所得税/和/财产/租赁/所得税/是/税收/治理/的/未来/重点/。	第四/，/高收入/个人/税收/流失/的/差异/贡献率/较为/集中/，/财产/转/让/所得税/和/财产/租赁/所得/税是/税收治理/的/未来/重点/。
19	叶永青/判断/，/2026/年/乃至/未来/五/年/的/个税/改革/将/呈现/五大/趋势/：/一/是/扩大/综合/所得/征税/范围/，/逐步/将/经营/所得/、/财产/转让/所得/等/纳入/；	叶永青/判断/，/20/26/年/乃至/未来/五/年/的/个税/改革/将/呈现/五/大趋势/：/一是/扩大/综合/所得/征税/范围/，/逐步/将/经营/所得/、/财产/转/让/所得/等/纳入/；
20	国际/经验/证明/，/能否/形成/合理/的/中等/收入/群体/规模/、/实现/居民收入/水平/与/经济发展/水平/同步/提升/，/关系到/社会/结构/的/稳定性/与/长远/发展/的/后劲/。	国际/经验/证明/，/能否/形成/合理/的/中/等/收入/群体/规模/、/实现/居民/收入/水平/与/经济/发展/水平/同步/提升/，/关系/到/社会/结构/的/稳定性/与/长远/发展/的/后劲/。
21	家庭/申报/可/结合/育儿/需求/，/按/家庭/内/人均收入/差异/设置/扣除/标准/，/这/是/未来/改革/的/重要/方向/，/但/当前/应先/完善/现有/税制/体系/，/再/逐步推进/家庭/申报/制度/。	家庭/申报/可结合育/儿/需求/，/按/家庭/内/人均/收入/差异设/置/扣除/标准/，/这/是/未来/改革/的/重要/方向/，/但/当前/应先/完善/现有/税制/体系/，/再/逐步/推进/家庭/申报/制度/。
22	这些/年/，/村里/不仅/通过/引进/品牌/商铺/、/开发/商业/用地/产生/收益/分红/，/还/把/一半/收入/用于/建/公园/、/养老/服务中心/等/民生/项目/，/成为/优化/收入/分配/的/生动/实践/。	这些/年/，/村里/不仅/通过/引进品/牌商/铺/、/开发商业用/地产生/收益/分红/，/还/把/一半收入/用于/建公园/、/养老/服务/中心/等/民生/项目/，/成为/优化/收入/分配/的/生动/实践/。
23	声明/说/，/沙特/谴责/伊朗/对/沙特/等/地区/国家/的/袭击/，/“/将/毫不犹豫/地/采取/一切/必要措施/，/维护/主权/，/保障/国家/安全/”/。	声明/说/，/沙特/谴责/伊朗/对/沙特/等/地区/国家/的/袭击/，/“/将/毫/不犹/豫地/采取/一切/必要/措施/，/维护/主权/，/保障/国家/安全/”/。
24	子女教育/、/继续教育/、/大病/医疗/、/住房/房屋贷款/或者/住房/租金/、/赡养/老人/的/支出/，/纳入/专项/附加/扣除/范围/。	子女/教育/、/继续/教育/、/大病/医疗/、/住房/房屋贷款/或/者/住房/租金/、/赡养/老人/的/支出/，/纳入/专项/附加/扣除/范围/。
25	李华/说/，/个税/要/发挥/调节作用/，/需要/通过/扩/中/、/提/低/、/限高/展开/。	李华/说/，/个税/要/发挥/调节/作用/，/需要/通过/扩中/、/提低/、/限高/展开/。
26	当地/时间/14/日/18/时/10/分/左右/，/韩国/首尔/市中心/明洞/地区/，/一/栋/7/层/建筑/内/的/旅馆/起火/，/火灾/在/21/时/35/分/左右/被/安全/扑灭/。	当地/时间/14/日/18/时/10分/左右/，/韩国/首尔市/中心/明洞/地区/，/一栋7层建/筑内/的/旅馆/起火/，/火灾/在/21/时/35/分左右/被/安全/扑灭/。
27	在/孟加拉国/首都/达卡/，/当地人/每天/要/在/加油站/排队/几/小时/，/才能/给/摩托车/加上/政府/限量供应/的/汽油/。	在/孟/加拉国/首都/达/卡/，/当/地人/每/天要/在/加油站/排队/几/小时/，/才能/给/摩/托车/加上/政府/限量/供应/的/汽油/。
28	蒋斌/说/，/我们/正告/日方/，/穷兵黩武/的/老路/是/自取灭亡/的/不/归路/。	蒋斌/说/，/我们/正告/日方/，/穷兵/黩武/的/老路/是/自取/灭亡/的/不归路/。
29	“/撒/钱/”/换来/的/流量/难以为继/，/最终/决定/去留/的/，/是/产品/本身/能否/满足/真实/需求/、/创造/实际/价值/。	“/撒钱/”/换来/的/流量/难/以为/继/，/最终/决定/去留/的/，/是/产品本/身能/否/满足/真实/需求/、/创造/实际/价值/。
30	叶永青/认为/，/与/增值税/、/企业所得税/相比/，/个税/在/财政收入/规模/上/仍/较为/有限/，/占/税收/总额/约/9/%/左右/，/远/低于/OECD/国家/（/经济合作与发展组织/）/平均/约/27/%/的/水平/。	叶永青/认为/，/与/增值/税/、/企业/所得/税相/比/，/个税/在/财政收入/规模/上/仍/较为/有限/，/占/税收/总额/约/9/%/左右/，/远/低于/O/EC/D/国家/（/经济/合作/与/发展/组织/）/平均/约/27/%/的/水平/。
31	此次/地震/震源/深度/为/23.2/公里/，/震中/位于/宜兰县/政府/东南/方向/49.6/公里/的/近海/。	此次/地震/震源/深度/为/23.2公里/，/震中/位于/宜兰县/政府/东南/方向/4/9.6/公里/的/近海/。
32	他/表示/，/如今/明确/部署/远程/进攻性/武器/，/射程远/超/日本/领土/范围/，/充分证明/日本/“/新型/军国主义/”/已不/只是/危险/苗头/，/而是/赤裸裸/的/现实/威胁/，/是/对/地区/和平/安全/的/严重破坏/。	他/表示/，/如今/明确/部署/远程进/攻性/武器/，/射程/远/超/日本/领土/范围/，/充分/证明/日本/“/新型/军国/主义/”/已/不只/是/危险/苗头/，/而/是/赤/裸裸/的/现实/威胁/，/是/对/地区/和平/安全/的/严重/破坏/。
33	因此/，/必须/对/恶意/造谣/、/蓄意/抹黑/者/形成/法律/震慑/。	因此/，/必须/对/恶意/造谣/、/蓄意抹黑者/形成/法律震/慑/。
34	未来/，/一/是/要/将/高净值/人群/的/资本/所得/纳入/更/严格/征管/，/强化/境外/所得/CRS/申报/、/股权/转让/税收/监管/，/使/高收入/群体/“/多渠道/收入/”/的/综合/税负/趋于/合理/；	未来/，/一是/要/将/高净值/人群/的/资本/所得/纳入/更/严格/征管/，/强化/境外/所得/C/RS/申报/、/股权/转/让/税收/监管/，/使/高收入/群体/“/多/渠道/收入/”/的/综合税/负趋于/合理/；
35	从/中期/（/及/更长/周期/）/看/，/随着/居民收入/增长/和/税制/结构/优化/，/个税/的/职能/将/向/“/收入/分配/调节/+/财政/筹资/”/双/轮/驱动/升级/。	从/中期/（/及/更长/周期/）/看/，/随着/居民/收入/增长/和/税制/结构/优化/，/个税/的/职能/将/向/“/收入/分配/调节/+/财政/筹资/”/双轮/驱动/升级/。
36	他/赞同/黎巴嫩政府/去年/8月/作出/推动/武器/“/专属/管控/权/”/的/决定/，/强调/黎巴嫩真主党/必须/遵守/该/决定/及/联合国安理会/相关/决议/。	他/赞同/黎巴嫩/政府/去/年/8月/作出/推动/武器/“/专属管/控权/”/的/决定/，/强调/黎巴嫩/真/主党/必须/遵守/该/决定/及/联合国/安理/会/相关/决议/。
37	伊方/称/，/调查/显示/，/这些/嫌疑人/长期/从事/损害/伊朗/国家/安全/的/活动/，/主要/包括/收集/并/向/以色列/方面/发送/伊朗/军事/、/警务/及/安全/设施/的/详细/地理坐标/和/相关/参数/。	伊方/称/，/调查/显示/，/这些/嫌疑/人/长期/从事/损害/伊朗/国家/安全/的/活动/，/主要/包括/收集/并向/以色列/方面/发送/伊朗/军事/、/警务/及/安全/设施/的/详细/地理/坐标/和/相关/参数/。
38	蒋斌/回答/相关/提问/时/作/上述/表示/。	蒋斌/回答/相关/提问/时作/上述/表示/。
39	蒋斌/指出/，/美国/和/以色列/未经/安理会/授权/，/在/伊美/谈判/进程/中/对/伊朗/发动/军事/打击/，/严重/违反/国际法/和/国际关系/基本准则/。	蒋斌/指出/，/美国/和/以色列/未经/安理/会/授权/，/在/伊美/谈判/进程/中对/伊朗/发动/军事/打击/，/严重/违/反国际法/和/国际/关系/基本/准则/。
40	应用/层面/的/热闹/，/不能/掩盖/基础/层面/的/短板/；	应用/层面/的/热闹/，/不能/掩盖/基础层面/的/短板/；
41	台湾/大/高雄/里长/交流/协会/总干事/黄愈丰/对/中新网/“/燕新台/”/工作室/表示/，/回顾历史/，/有/许许多多/台湾/青年/回到/祖国/怀抱/投身/抗战/。	台湾/大高/雄里长/交流/协会/总干事/黄愈/丰对/中新网/“/燕新台/”/工作室/表示/，/回顾/历史/，/有许/许多/多/台湾青/年/回到/祖国/怀抱/投身/抗战/。
42	当前/，/我国/中等/收入/群体/规模/已/超过/4/亿/人/，/未来/10/多年/有望/超过/8/亿/人/。	当前/，/我国/中/等/收入/群体/规模/已/超过/4/亿人/，/未来/10多/年/有望/超过/8亿/人/。
43	同样/，/云南/小粒/咖啡/、/蓝莓/、/牛油果/、/中药材/等/特色产业/，/借助/“/云南/美好生活/”/等/直播/助/农/活动/，/去年/农产品/网络/销售额/已经/超/700/亿/元/。	同样/，/云南/小粒/咖啡/、/蓝莓/、/牛油果/、/中药/材/等/特色产业/，/借助/“/云南/美好/生活/”/等/直播/助农/活动/，/去/年/农产品/网络/销/售额/已经/超700亿/元/。
44	继续/实施/学前/一/年/免费/教育/政策/；	继续/实施/学前/一年/免费/教育/政策/；
45	看/成绩/，/更/要/看/成色/、/找/差距/、/补/短板/。	看/成绩/，/更要/看/成色/、/找/差距/、/补/短板/。
46	作为/对/个人所得/直接/征税/的/税种/，/个税/中的/综合/所得/通过/累进税率/结构/（/综合/所得/最高/边际/税率/45/%/）/具有/明显/的/再/分配/效应/。	作为/对/个人/所得/直接/征税/的/税种/，/个税/中/的/综合/所得/通过/累进/税率/结构/（/综合/所得/最高/边际/税率/45/%/）/具有/明显/的/再/分配/效应/。
47	丘智贤/强调/，/面对/殖民/压迫/，/大批/台湾/先辈/可歌可泣/的/抗日/事迹/不应/被/抹/灭/。	丘智贤/强调/，/面对/殖民/压迫/，/大批/台湾/先辈/可歌/可泣/的/抗日事/迹/不应/被/抹灭/。
48	更/重要/的/是/，/涉企/网络/谣言/多发/频发/，/扰乱/企业/生产/经营/秩序/，/破坏/市场/公平竞争/环境/，/影响/经济/预期/和/发展/信心/。	更/重要/的/是/，/涉企/网络/谣/言多/发频发/，/扰乱/企业/生产/经营/秩序/，/破坏/市场/公平/竞争/环境/，/影响/经济/预期/和/发展/信心/。
49	李华/说/，/短期/来看/，/个税/的/首要/职能/是/通过/差异化/扣除/机制/，/精准/保障/居民/基本/生活/需求/，/支持/更/高质量/生活/追求/；	李华/说/，/短期来/看/，/个税/的/首要/职能/是/通过/差异化/扣除/机制/，/精准/保障/居民/基本/生活/需求/，/支持/更高/质量/生活/追求/；
50	正因如此/，/各家/在/红包/之外/各/辟/蹊径/：/有的/将/AI/嵌入/社交/日常/，/有的/把/AI/接入/外卖/出行/，/有的/用/AI/生成/视频/内容/，/有的/让/AI/革新/搜索/体验/。	正/因/如此/，/各家/在/红包/之外/各辟/蹊径/：/有/的/将/AI/嵌入/社交/日常/，/有/的/把/AI/接入/外卖/出行/，/有/的/用/AI/生成/视频/内容/，/有/的/让/AI/革新/搜索/体验/。
51	在外/打工/的/群众/牵挂/家中/的/孩子/，/18/万/名/“/爱心/妈妈/”/结对/关爱/32/万/留守/儿童/；	在/外/打工/的/群众/牵挂家/中/的/孩子/，/18/万/名/“/爱心/妈妈/”/结对/关爱/32/万/留守/儿童/；
52	农户/担心/，/受/多重/因素/影响/，/美国/粮食市场/价格/波动/将/会/加剧/，/给/今后/的/经营/带来/更多/不确定性/。	农户/担心/，/受多/重因素/影响/，/美国/粮食/市场/价格/波动/将/会/加剧/，/给/今后/的/经营/带来/更多/不确/定性/。
53	2020/年/，/党/的/二十/大/报告/提出/，/要/“/完善/个人所得税/制度/，/规范/收入/分配/秩序/，/规范/财富/积累/机制/，/保护/合法收入/，/调节/过/高收入/，/取缔/非法收入/”/；	2020年/，/党/的/二/十大/报告/提出/，/要/“/完善/个/人所得税/制度/，/规范/收入/分配/秩序/，/规范/财富积/累机制/，/保护/合法/收入/，/调节/过高/收入/，/取缔非/法收入/”/；
54	岛内/多数/“/恋/殖/”/者/，/是/日本/殖民/时代/的/既得利益者/，/但/赖清德/并非如此/。	岛内/多/数/“/恋殖/”/者/，/是/日本/殖民/时代/的/既得/利益/者/，/但/赖清德/并非/如此/。
55	保障/航班/75.9/万/班/，/日均/1.9/万/班/，/比/2025/年/春运/同期/增长/2.7/%/。	保障/航班/75.9/万班/，/日均/1.9/万班/，/比2025/年/春运同期/增长/2.7/%/。
56	罗德里格斯/说/，/古巴/愿/与/美国政府/进行/认真/且/负责任/的/对话/，/在/恪守/国际法/和/尊重/双方/主权/的/基础上/，/找到/解决/双边/分歧/的/办法/。	罗德/里/格斯/说/，/古巴/愿/与/美国/政府/进行/认真/且/负责任/的/对话/，/在/恪/守国际法/和/尊重/双方/主权/的/基础上/，/找/到/解决/双边/分歧/的/办法/。
57	这/一/状况/可以/通过/加强/资本/收入/税收/征管/及/完善/综合/所得/征收/（/包括/境外/所得/的/收入/征管/）/来/改善/，/但/整体而言/，/资本/税制/的/改革/仍然/有/必要/；	这一/状况可/以/通过/加强/资本/收入/税收/征管/及/完善/综合/所得/征收/（/包括/境外/所得/的/收入/征管/）/来/改善/，/但/整体/而言/，/资本/税制/的/改革/仍/然有/必要/；
58	加大/投资/于人/的/力度/。	加大/投资/于人/的/力度/。
59	这/一/消息/，/来得/正是/时候/。	这一/消息/，/来得/正/是/时候/。
60	当年/用户/绑/了/卡/、/钱/在/微信/里/，/迁移/成本高/，/自然/就/留/了/下来/。	当年/用户/绑/了/卡/、/钱在/微信/里/，/迁移/成本高/，/自然/就/留了/下来/。
61	按照/修改/后/的/规定/，/劳务/报酬/、/稿酬/、/特许权/使用费/三/项/所得/将/与/工资/薪金/合并/起来/计算/纳税/；	按/照/修改/后/的/规定/，/劳务/报酬/、/稿酬/、/特许权/使/用费/三项/所得/将/与/工资/薪金合/并/起来/计算/纳税/；
62	要/清理/规范/不合理/收入/，/整顿/收入/分配/秩序/，/坚决/取缔/非法收入/。	要/清理/规范/不/合理/收入/，/整顿/收入/分配/秩序/，/坚决取缔非/法收入/。
63	防汛/“/1262/”/机制/与/“/云汛/达/”/APP/的/探索/，/则/展现/了/互联网/在/守护/群众/生命财产/安全/中的/关键作用/。	防汛/“/1262/”/机制/与/“/云汛/达/”/AP/P/的/探索/，/则/展现/了/互联网/在/守护/群众/生命/财产/安全/中/的/关键/作用/。
64	《/国务院/关于/深入/实施/“/人工智能/+/”/行动/的/意见/》/明确提出/，/在/模型/基础/能力/、/数据/供给/创新/、/智能/算/力/统筹/等/方面/强化/基础/支撑/能力/。	《/国务院/关于/深入/实施/“/人工智能/+/”/行动/的/意见/》/明确/提出/，/在/模型/基础能力/、/数据/供给/创新/、/智能/算/力统/筹等/方面/强化/基础/支撑/能力/。
65	此次/活动/将/进一步/增进/两/国/两/军/传统友谊/，/密切/两/军/各/层级/人员/交往/互信/，/深化/双方/务实/合作/，/提升/共同/维护/边境/和/相关/海域/安全/能力/。	此次/活动/将/进一步/增进/两国/两/军传/统友/谊/，/密切/两军/各层/级/人员/交往/互信/，/深化/双方务实/合作/，/提升/共同/维护/边境/和/相关/海域/安全/能力/。
66	另一方面/，/为/促进/消费/、/优化/经济发展/结构/，/调整/个税/扣除额/也/有/相当/的/合理性/，/因此/个税/收入/长期/来看/不会/成为/财政收入/的/最大/来源/。	另一/方面/，/为/促进/消费/、/优化/经济/发展/结构/，/调整/个税/扣除额/也/有相/当/的/合理性/，/因此/个/税收入长/期来/看/不会/成为/财政收入/的/最大/来源/。
67	同时/以/精准/化/的/税制/涉及/支持/国家/经济发展/和/重大/社会/目标/（/生育/、/养老/、/住房/）/等/，/最终/推动/橄榄型/收入/分配/格局/的/形成/。	同时/以/精准化/的/税制/涉及/支持/国家/经济/发展/和/重大/社会/目标/（/生育/、/养老/、/住房/）/等/，/最终/推动/橄/榄型/收入/分配/格局/的/形成/。
68	2026/年/春运/3月/13/日/收官/。	20/26/年/春运/3月/13/日/收官/。
69	我们/的/处境/将/非常/糟糕/。	我们/的/处境/将/非/常糟糕/。
70	“/听到/赖清德/这种/冷血/评论/感到/伤心/和/愤怒/。	“/听到/赖清德/这种/冷/血/评论/感到/伤心/和/愤怒/。
71	三/是/配合/未来/可能/出台/的/退出/籍/税/、/遗产税/等/制度/，/构建/完善/的/个人所得税/征管/体系/。	三/是/配合/未来/可能/出台/的/退出/籍税/、/遗产税/等/制度/，/构建/完善/的/个人所得税/征管/体系/。
72	一/位/年/入/百万/的/自/媒体/从业者/对/经济/观察报/表示/，/此前/，/每年/个税/缴纳/都/是/由/他/报/一个/收入/总数/给/互联网/平台/公司/，/再/由/平台/公司/报/给/税务/部门/。	一位/年入/百万/的/自/媒体/从/业者/对/经济/观察报/表示/，/此前/，/每/年/个税/缴纳/都/是/由/他报/一个/收入/总数给/互联/网平/台公司/，/再/由/平台/公司/报给/税务/部门/。
73	他们/说/：/“/如果/这种/情况/持续/下去/，/将/会/对/经济/造成/巨大/压力/。	他们/说/：/“/如果/这种/情况/持续/下去/，/将/会对/经济/造成/巨大压力/。
74	潘功胜/指出/，/按照/国际货币基金组织/的/分类/标准/，/中国/实行/有/管理/的/浮动汇率/制度/。	潘功胜/指出/，/按/照国际/货币/基金/组织/的/分类/标准/，/中国/实行/有/管理/的/浮动/汇率/制度/。
75	在/针对/委内瑞拉/、/伊朗/的/军事行动/中/，/美军/都/大量/使用/人工智能/工具/，/引发/对/战争/伦理/与/军事/技术/应用/边界/的/深刻/担忧/。	在/针对/委内/瑞拉/、/伊朗/的/军事/行动/中/，/美军/都/大量/使用/人工智能/工具/，/引发/对/战争/伦理/与/军事/技术/应用/边界/的/深刻/担忧/。
76	稳步/扩大/中等/收入/群体/规模/，/推动/形成/中间/大/、/两头/小/的/橄榄型/分配/格局/，/是/实现/共同富裕/的/有效/路径/。	稳步/扩大/中/等/收入/群体/规模/，/推动/形成/中间/大/、/两头小/的/橄/榄型/分配/格局/，/是/实现/共同富裕/的/有效/路径/。
77	着眼/未来/，/要/持续/深化/收入/分配制度/改革/，/在/切/好/分好/“/蛋糕/”/上/取得/新/成效/。	着眼/未来/，/要/持续/深化/收入/分配/制度/改革/，/在/切好/分好/“/蛋糕/”/上取得/新/成效/。
